" Date","AMZN EBITDA (FQ)","AAPL EBITDA (FQ)","GOOGL EBITDA (FQ)","FB EBITDA (FQ)","NFLX EBITDA (FQ)"
09-29-1995,"0.00","95.00","0.00","0.00","0.00"
06-30-1995,"0.00","193.00","0.00","0.00","0.00"
03-31-1995,"0.00","195.00","0.00","0.00","0.00"
12-30-1994,"0.00","305.00","0.00","0.00","0.00"
09-30-1994,"0.00","236.00","0.00","0.00","0.00"
07-01-1994,"0.00","147.00","0.00","0.00","0.00"
04-01-1994,"0.00","73.00","0.00","0.00","0.00"
12-31-1993,"0.00","108.00","0.00","0.00","0.00"
09-24-1993,"0.00","49.63","0.00","0.00","0.00"
06-25-1993,"0.00","55.40","0.00","0.00","0.00"
